Lenny Kravitz, Again
Billy Talent, Rusted From The Rain
Linkin Park, New Divide
A.R. Rahman, Jai Ho! (You Are My Destiny)
Nickelback, Gotta Be Somebody
Britney Spears, Circus
Daniel Merriweather, Change
Katy Perry, Thinking Of You
MIKA, We Are Golden
The Script, Before the Worst
John O'Callaghan, Find Yourself - Original Mix
Muse, Uprising
Muse, Undisclosed Desires
Seeed, Augenbling
Seeed, Beautiful
Above & Beyond, Thing Called Love - Radio Edit
Rea Garvey, Armour
Chase & Status, Blind Faith
Chase & Status, Count On Me
Chase & Status, Time
Gorillaz, Stylo (feat. Mos Def and Bobby Womack)
Timbaland, Morning After Dark (Featuring Nelly Furtado & SoShy)
Porter Robinson, Language - UK Edit
Jeremih, Don't Tell 'Em
Kollegah, Empire Business
Kollegah, Winter
Alex Adair, Heaven
Robin Thicke, Back Together
RÜFÜS, You Were Right
LANY, ILYSB - Ferdinand Weber Edit
Dusk Till Dawn, Sit and Wait - Radio Edit
Jason Derulo, Cheyenne
DJ Antoine, Holiday - DJ Antoine Vs Mad Mark 2K15 Radio Edit
John Newman, Come And Get It - Tobtok Remix
Joe Stone, The Party (This Is How We Do It)
Bondax, All I See
Adam Lambert, Another Lonely Night
ZHU, Automatic
Diplo, Be Right There
Zedd, Beautiful Now
LuvBug, Best Is Yet To Come
LunchMoney Lewis, Bills
Calvin Harris, Blame
Kid Ink, Body Language
Jess Glynne, Don't Be So Hard On Yourself
Years & Years, Eyes Shut - Danny Dove Remix
Mark Forster, Flash mich
Pitbull, Fun
Glasperlenspiel, Geiles Leben - Madizin Single Mix
Lost Frequencies, Reality
Years & Years, Shine
Kygo, Stay
R.I.O., Thinking of You - Video Edit
Tove Lo, Talking Body
Throttle, Together - Radio Edit
Gestört aber GeiL, Unter meiner Haut - Radio Mix
Seinabo Sey, Younger - Kygo Remix
Madeon, You're On
LunchMoney Lewis, Whip It!
Craig David, When the Bassline Drops
Culcha Candela, Wayne (feat. Curlyman)
Martin Garrix, Virus (How About Now)
Owl City, Verge
Avicii, Waiting For Love
EBTG V'S Soul Vision, Tracey In My Room - Lazy Dog Bootleg Vocal Mix
Biffy Clyro, Many Of Horror
Biffy Clyro, Black Chandelier
Robbie Williams, Millennium
50 Cent, I'm The Man
50 Cent, Baby By Me (Featuring Ne-Yo)
Deorro, Five More Hours - Deorro x Chris Brown
Robbie Williams, She's the One
T.I., Why You Wanna
Ne-Yo, Sexy Love
The Fray, Over My Head (Cable Car)
Kelly Clarkson, Walk Away
The Pussycat Dolls, Beep
The Rock Heroes, Dani California (as made famous by Red Hot Chili Peppers)
Above & Beyond, All Over The World
Flo Rida, GDFR (feat. Sage The Gemini & Lookas)
Nick Jonas, Jealous
Kid Ink, Be Real
Axwell /\ Ingrosso, Something New
Pitbull, Time of Our Lives
Flo Rida, My House
David Guetta, Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)
Manufactured Superstars, Stay (Radio Edit) [feat. Jarvis Church]
Mike Candys, Last Man On Earth - Radio Edit
Flo Rida, Wobble
Alesso, Cool
Martin Garrix, Forbidden Voices - Original Mix
Jason Derulo, Want to Want Me
DJ Snake, You Know You Like It
Robin Schulz, Headlights (feat. Ilsey)
Tiësto, Secrets - Radio Edit
DJ Rapture, Hell yeah
Michael Calfan, Treasured Soul
B-Case, Upside Down - B-Case Radio Edit
Blonde, All Cried Out (feat. Alex Newell)
Flo Rida, Here It Is (feat. Chris Brown)
Ella Eyre, Together
Flo Rida, I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)
The Six, Unfinished Sympathy
DJ Khaled, Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)
Kelly Clarkson, Invincible
Taio Cruz, Do What You Like
Anna Naklab, Supergirl - Radio Edit
R.I.O., Sun Is Up - Video Edit
Sam Smith, Restart
Galantis, Peanut Butter Jelly
The Weeknd, Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack
Rudimental, Never Let You Go (feat. Foy Vance)
David Zowie, House Every Weekend - Radio Edit
Tove Lo, Talking Body - KREAM Remix
Tinie Tempah, Not Letting Go (feat. Jess Glynne)
Jack Ü, Where Are Ü Now (with Justin Bieber)
Disclosure, Omen - Radio Edit
The Knocks, Classic (feat. Fetty Wap & POWERS )
The Magician, Together
Duke Dumont, Ocean Drive
Major Lazer, Powerful (feat. Ellie Goulding & Tarrus Riley)
Joe Weller, Wanna Do (feat. Emil)
Years & Years, Shine - Sanna & Pitron Remix
Adam Lambert, The Original High
Netsky, Rio
Lea Rue, I Can't Say No! - Broiler Remix
Parov Stelar, The Sun - Klingande Remix Radio Edit
Kygo, Here for You
filous, How Hard I Try
NERO, Two Minds
Kris Kross Amsterdam, Until The Morning - Joe Stone Remix Edit
Oliver Heldens, Shades Of Grey - Radio Mix
Blinkie, Don't Give Up (On Love) - Radio Edit
Sigma, Redemption
Zac Samuel, Set Out Your Loving
Kaskade, Mercy
Chris Brown, Zero
Ellie Goulding, Something In The Way You Move
Mike Candys, Paradise - Radio Edit
Nelly, The Fix
Tiësto, Chemicals
Matrix & Futurebound, Happy Alone (feat. V. Bozeman)
KDA, Turn The Music Louder (Rumble) - Radio Edit
Justin Bieber, I'll Show You
Drake, Hotline Bling
Selena Gomez, Same Old Love
RÜFÜS, Like an Animal
Shaun Frank, Heaven - Radio Edit
WSTRN, In2
The Weeknd, The Hills
LuvBug, Revive (Say Something)
Disclosure, Magnets - A-Trak Remix
Coldplay, Everglow
Chris Brown, Fine By Me
Robin Schulz, Show Me Love
Shawn Mendes, Stitches
Coldplay, Hymn For The Weekend
50 Cent, Too Rich For The Bitch
Kilian & Jo, Little Love
Zara Larsson, Never Forget You
Jonas Blue, Fast Car
Feder, Blind (feat. Emmi) - Radio Edit
Ellie Goulding, Army - Mike Mago Remix
Sigma, Stay
Netsky, Work It Out
Lukas Graham, 7 Years
Rihanna, Work
Wiz Khalifa, Elevated
ZAYN, PILLOWTALK
Twenty One Pilots, Stressed Out
Flo Rida, Hello Friday (feat. Jason Derulo)
Tritonal, This Is Love
Alan Walker, Faded
Anne-Marie, Do It Right - Blinkie Remix
Sigala, Say You Do - Radio Edit
Tinie Tempah, Girls Like (feat. Zara Larsson)
Michael Calfan, Nobody Does It Better
Nico & Vinz, That's How You Know (feat. Kid Ink & Bebe Rexha)
DJ Snake, Middle
Yall, Hundred Miles
Mike Posner, I Took A Pill In Ibiza - Seeb Remix
Julian Perretta, Miracle
AlunaGeorge, I'm In Control
Martin Garrix, Now That I've Found You (feat. John & Michel)
G-Eazy, Me, Myself & I
Blonde, Nothing Like This
Bring Me The Horizon, Follow You
Sigala, Give Me Your Love - Radio Edit
Dillon Francis, Coming Over (feat. James Hersey)
DNCE, Cake By The Ocean
Steve Aoki, Can't Go Home - Radio Edit
The Chainsmokers, Don't Let Me Down
David Guetta, This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016
Shawn Mendes, Stitches - Seeb Remix
Red Hot Chili Peppers, Dark Necessities
Janieck, Feel The Love - Sam Feldt Edit
Alle Farben, Please Tell Rosie
Mark Forster, Wir sind groß
Kungs, This Girl - Kungs Vs. Cookin' On 3 Burners
Alesso, I Wanna Know
Lucas & Steve, Make It Right
Otto Knows, Back Where I Belong (feat. Avicii)
Young Summer, Alright
Bastille, Good Grief
Charlie Puth, We Don't Talk Anymore (feat. Selena Gomez)
OneRepublic, Wherever I Go
Selena Gomez, Kill Em With Kindness
Flume, Never Be Like You (feat. Kai)
Alicia Keys, In Common - Kaskade Radio Mix
Lee Walker, Freak Like Me (feat. Katy B & MNEK) - Radio Edit
Rihanna, Needed Me
DJ Snake, Talk
Axwell /\ Ingrosso, Thinking About You
Kent Jones, Don't Mind
Imani Williams, Don't Need No Money
Bakermat, Living
Cheat Codes, Let Me Hold You (Turn Me On)
Dimitri Vegas & Like Mike, Stay a While - Radio Edit
Tiësto, Summer Nights
Troye Sivan, YOUTH - Gryffin Remix
M.O, Who Do You Think Of?
Martin Solveig, Do It Right
Lost Frequencies, Beautiful Life
Jonas Blue, Perfect Strangers
Sia, Cheap Thrills
Drake, One Dance
Robin Schulz, Heatwave (feat. Akon)
Jay Sean, Make My Love Go
will.i.am, Boys & Girls
Cheat Codes, Sex (Cheat Codes X Kris Kross Amsterdam)
R3HAB, Freak
Benny Benassi, Paradise - Radio Edit
Rudimental, Rumour Mill (feat. Anne-Marie & Will Heard)
Skrillex, Where Are Ü Now
Wretch 32, Traktor (feat. L) - Radio Edit
Kiiara, Gold
Roll Deep, Good Times - feat. Jodie Connor
Labrinth, Earthquake - Full Version
DEV, Bass Down Low
Tinie Tempah, Pass Out
Tinchy Stryder, You're Not Alone
Tinie Tempah, Invincible - feat. Kelly Rowland
Mr Hudson, Supernova
JLS, Eyes Wide Shut
Akon, Beautiful
Example, Stay Awake - Radio Edit
Kardinal Offishall, Dangerous
JLS, She Makes Me Wanna
Keri Hilson, Knock You Down
Dizzee Rascal, Holiday
B.o.B, Roll Up (feat. Marko Penn)
B.o.B, Nothin' On You (feat. Bruno Mars)
B.o.B, I'll Be In The Sky
Linus Loves, Stand Back - Radio Edit
KEV, Moments
Timeflies, Once In a While
Lucas Estrada, See You Cry (feat. Daniel Ceder)
Troye Sivan, WILD
257ers, Holland
Dakota, Long Hot Summer
OFFAIAH, Trouble
Major Lazer, Cold Water
Felix Jaehn, Bonfire
Hailee Steinfeld, Starving
DNCE, Toothbrush
John Gibbons, Would I Lie to You
Carly Rae Jepsen, Higher
Walking On Cars, Speeding Cars
Matoma, False Alarm
Flo Rida, Zillionaire
Twenty One Pilots, Ride
Sam Feldt, Summer on You
Snakehips, Cruel
Jason Derulo, If It Ain't Love
Calvin Harris, This Is What You Came For
Fifth Harmony, Work from Home
Justin Timberlake, CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")
Empire of the Sun, Way To Go
Shawn Mendes, Treat You Better
Party Favor, Give It To Me Twice (feat. Sean Kingston & Rich The Kid)
Bob Sinclar, Someone Who Needs Me
Bob Marley & The Wailers, Is This Love - Remix
3LAU, Is It Love
Sia, The Greatest
DVBBS, LA LA LAND
AlunaGeorge, Mean What I Mean
Møme, Aloha
MØ, Final Song
Martin Garrix, In the Name of Love
Mike Perry, The Ocean
Matt Simons, Lose Control
FRENSHIP, Capsize
Shawn Mendes, Mercy
Digital Farm Animals, Millionaire
Lukas Rieger, Let Me Know
Kungs, Don't You Know
Topic, Find You (feat. Jake Reese)
DJ Snake, Let Me Love You
Calum Scott, Dancing On My Own - Tiësto Remix
The Chainsmokers, Closer
Fifth Harmony, All In My Head (Flex)
Zara Larsson, Ain't My Fault
Lucas Estrada, Fireflies
MARC, Show You the Light (feat. Efraim Leo)
Gavin James, Nervous (The Ooh Song) - Mark McCabe Remix
Nevada, The Mack
Nezen, O-Moment (feat. Daniel Ceder)
Terror Jr, Come First
Devlin, Rewind
EDX, High On You
MØ, Drum
Alle Farben, Bad Ideas
The Weeknd, I Feel It Coming
Syn Cole, Californication
Martin Jensen, Solo Dance
The Americanos, In My Foreign (feat. Ty Dolla $ign, Lil Yachty, Nicky Jam & French Montana)
Lost Frequencies, What Is Love 2016
Dimitri Vegas & Like Mike, Hey Baby (feat. Debs's Daughter)
Adventure Club, Crash 2.0 (Adventure Club vs. DallasK)
OIJ, Back To The Start
Hardwell, Thinking About You
Starley, Call on Me - Ryan Riback Remix
Martin Garrix, Together
Feder, Lordly (feat. Alex Aiono)
Galantis, Love On Me
TIEKS, Sunshine - Radio Edit
Gorgon City, Smile
David Guetta, Would I Lie To You - Radio Edit
NEIKED, Sexual
Tory Lanez, LUV - Remix
Otto Knows, Not Alone
Lil Wayne, Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)
The Vamps, All Night
Ghita, How Low
Bodybangers, Sunglasses at Night - Radio Edit
Yasha, Strand
Sander van Doorn, Nothing Inside - UK Edit
John Newman, Olé - Blonde Remix
Coldplay, Up&Up
Julian Perretta, Karma
The Weeknd, Starboy
Craig David, 16
Calvin Harris, My Way
The Chainsmokers, All We Know
Maroon 5, Don't Wanna Know
Major Lazer, Cold Water (feat. Justin Bieber & MØ) - Lost Frequencies Remix
Cheat Codes, Queen Elizabeth
Usher, Wait For It
Mark Forster, Chöre
Bruno Mars, 24K Magic
Alesso, Take My Breath Away
Jonas Blue, By Your Side
The Chainsmokers, Setting Fires
ARExJAY, Hold Me Close - Chill Mix
Marco Cavax, Forever
Deorro, Goin Up
Adele, Water Under the Bridge
Ola, All Over The World - Radio Edit
Peking Duk, Stranger
Clean Bandit, Rockabye (feat. Sean Paul & Anne-Marie)
Robin Schulz, Shed a Light
DJ Snake, Let Me Love You - Marshmello Remix
Sigala, Only One - Radio Edit
Borgeous, Going Under
Just Kiddin, Won't Let You Down
Fergie, Life Goes On
Henao, Serendipity (Lucas Estrada Remix)
Matoma, Heart Won't Forget
Alok, Hear Me Now
ALMA, Dye My Hair
Big Sean, Bounce Back
Axwell /\ Ingrosso, I Love You
Sigma, Find Me
3LAU, You Want More
Martin Solveig, Places
Rae Sremmurd, Black Beatles
Klangkarussell, Hey Maria - Ynnox Remix
Sean Paul, No Lie
Sage The Gemini, Now and Later
Galantis, Pillow Fight
Oliver Heldens, Good Life (feat. Ida Corr)
Flo Rida, Cake
GAMPER & DADONI, Blind Faith
Steve Aoki, Just Hold On
Milky Chance, Cocoon
Louisa Johnson, So Good - Alex Adair Remix
ZAYN, I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)"
Biffy Clyro, Re-arrange
Pete Golden, Better Days
DJ Katch, Lights Out (Too Drunk) [feat. Hayley]
KREAM, Taped Up Heart (feat. Clara Mae)
Calvin Harris, The Girls
Benny Benassi, Spaceship
Whethan, Savage (feat. Flux Pavilion & MAX)
Audien, Crazy Love
Kollegah, Einer von Millionen (feat. Motrip)
Kris Kross Amsterdam, Are You Sure? (feat. Ty Dolla $ign)
RHODES, Your Soul (Holding On)
Henri PFR, Until the End
Katy Perry, Chained To The Rhythm
Zedd, Stay (with Alessia Cara)
Bruno Mars, That's What I Like
Big Sean, Bounce Back
deadmau5, Strobe - Radio Edit
Sia, Move Your Body - Single Mix
Armin van Buuren, I Need You (feat. Olaf Blackwood)
Lupe Fiasco, Wild Child (feat. Jake Torrey)
Julian Perretta, I Cry - Radio Edit
Little Mix, Touch
JP Cooper, September Song
Ralph Felix, The Heat (I Wanna Dance With Somebody)
Lauv, The Other
Plastik Funk, Sunrise
Big Gigantic, All of Me (feat. Logic, ROZES)
Alicia Keys, Blended Family (What You Do For Love)
Stanaj, Romantic - NOTD Remix
Fake Pictures, Two Princes - Radio Mix
Martin Garrix, Scared to Be Lonely
Tiësto, On My Way
Bakermat, Baby
Petit Biscuit, Sunset Lover
Yellow Claw, Love & War (feat. Yade Lauren)
Art Felixx, Grey to Gold
Jane XØ, Love Me
Alesso, Falling
Ed Sheeran, Shape of You
The Chainsmokers, Paris
Major Lazer, Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)
Ed Sheeran, Castle on the Hill
R3HAB, Trouble
James Blunt, Love Me Better
Fergie, Life Goes On - Ryan Riback Remix
Art Felixx, High on Love (Lucas Estrada Remix)
Anne-Marie, Ciao Adios
James Arthur, Safe Inside - Mark McCabe Remix
Linkin Park, Heavy (feat. Kiiara)
Mr. Probz, Till You're Loved
Sophie Francis, Without You
Kygo, It Ain't Me (with Selena Gomez)
Snakehips, Don't Leave - Throttle Remix
Alex Ross, Dreams
Benny Benassi, We Light Forever Up
G-Eazy, Good Life (with G-Eazy & Kehlani)
Pitbull, Only Ones To Know
R3HAB, Freak - Sam Feldt Remix Edit
ARLE, Close To You - Icarus Edit
PLVTINUM, Champagne & Sunshine (Ellusive Remix)
G-Eazy, Good Life (with G-Eazy & Kehlani)
Burak Yeter, Tuesday (feat. Danelle Sandoval)
Maroon 5, Cold
Vice, Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Flo Rida, Game Time (feat. Sage The Gemini)
Mary J. Blige, U + Me (Love Lesson)
The Chainsmokers, Something Just Like This
Busy P, Genie (feat. Mayer Hawthorne) - Radio Edit
Calvin Harris, Slide
Era Istrefi, Redrum
Topic, Break My Habits
Lucas Estrada, Don't Wanna Let You Go
R3HAB, Trouble - It's Different Remix
Tim Gartz, What You Want (feat. Nicole Gartz)
ALMA, Chasing Highs
Snoop Dogg, Signs
Nora En Pure, Saltwater (2015 Radio Rework)
Fritz Kalkbrenner, In This Game - Radio Edit
Ariana Grande, Everyday
Jason Derulo, Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Marteria, Aliens
ZAYN, Still Got Time
Jon Bellion, All Time Low
Don Diablo, Children Of A Miracle
Calvin Harris, Heatstroke
Vice, Obsession (feat. Jon Bellion)
Cheat Codes, No Promises (feat. Demi Lovato)
The Chainsmokers, The One
Iceleak, Danger
will.i.am, FIYAH
AJR, Weak
Oh Wonder, Ultralife
Bliss n Eso, Moments (feat. Gavin James)
Phoenix, Everything Is Everything
J-MOX, Crazy Without You (Lucas Estrada Remix)
Madison Mars, Feel the Music
Ofenbach, Be Mine
The Chainsmokers, My Type
Anton Powers, Baby
Madden, Echo
Luis Fonsi, Despacito - Remix
Julia Michaels, Issues
Die Fantastischen Vier, Troy
Glasperlenspiel, Nie vergessen
Matoma, Running Out - KREAM Remix
Keane, Somewhere Only We Know
Ed Sheeran, Galway Girl
Astrid S, Breathe
Clean Bandit, Symphony (feat. Zara Larsson)
Kygo, First Time
The Vamps, Middle Of The Night
DJ Khaled, I'm the One
Sean Paul, Body
Gorillaz, The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)
OneRepublic, No Vacancy
Steve Aoki, Without U
Disciples, On My Mind
Syn Cole, It's You - Panic City Remix
Sons Of Maria, Our Love - Radio Mix
Sons Of Maria, Surrender - Radio Mix
Kid Ink, Promise
The Killers, When You Were Young
NERO, Promises
P!nk, Raise Your Glass
The Pussycat Dolls, When I Grow Up
Sugababes, About You Now
Sugababes, Overload
Texas, Inner Smile
Not Profane, Loved by You
DJ Khaled, Wild Thoughts
MØ, Nights With You - Cheat Codes Remix
Dr Vades, Freaky (feat. Wande Coal & Beenie Man) - Radio Edit
Sarazar, Traveller
Snakehips, Right Now
Lorde, Perfect Places
J-MOX, Hunter
Sam Feldt, Midnight Hearts - Extended Mix
Ed Sheeran, Galway Girl - Martin Jensen Remix
Jonas Blue, Mama
Drake, Passionfruit
Lady Gaga, The Cure
Katy Perry, Bon Appétit
Calvin Harris, Rollin
Shawn Mendes, There's Nothing Holdin' Me Back
Cheat Codes, Stay With You
Felix Jaehn, Hot2Touch
Major Lazer, Know No Better (feat. Travis Scott, Camila Cabello & Quavo)
Hardwell, Creatures Of The Night
Fifth Harmony, Down
Martin Garrix, There for You
Imagine Dragons, Thunder
Axwell /\ Ingrosso, More Than You Know
Joakim Lundell, My Addiction
Dua Lipa, Lost In Your Light
Hurts, Beautiful Ones
Calvin Harris, Feels
Bakermat, Don't Want You Back
Sigala, Came Here for Love
Charlie Puth, Attention
Youngr, '93
Rudimental, Sun Comes Up
R3HAB, Truth or Dare
Cash Cash, All My Love (feat. Conor Maynard)
Coldplay, A L I E N S
Deepend, Waiting for the Summer
ItaloBrothers, Summer Air
Liam Payne, Strip That Down
Dagny, Wearing Nothing - Cheat Codes X CADE Remix
David Guetta, 2U (feat. Justin Bieber)
Moksi, Dream
AlunaGeorge, Turn Up The Love
Zedd, Get Low (with Liam Payne)
Julian Perretta, Private Dancer
KREAM, Drowning
Coldplay, Miracles (Someone Special)
OneRepublic, Rich Love (with Seeb)
Sean Paul, Turn It Up
Demi Lovato, Sorry Not Sorry
Jasmine Thompson, Old Friends - Jonas Blue Remix
MNEK, Paradise
Nick Peters, No Love In Brooklyn
Lauv, I Like Me Better - Cheat Codes Remix
Duke Dumont, Real Life
Peking Duk, Fake Magic
Beatrich, Superstar
Blinkie, Halfway - Radio Edit
Burak Yeter, GO 2.0
The Him, Secrets
Martin Solveig, All Stars
Fais, Hey
Kyau & Albert, About the Sun - Album Rework
Felix Jaehn, Feel Good
Kungs, More Mess
A.V., You & I
Leowi, U Wanna Do
Alvaro Estrella, Side X Side
Snakehips, Either Way
Dimitri Vegas & Like Mike, Complicated (feat. Kiiara)
The Chainsmokers, Honest
Avicii, Lonely Together (feat. Rita Ora)
P!nk, What About Us
Alex Adair, Casual
The Script, Rain
Regi, Where Did You Go (Summer Love)
Avicii, Without You (feat. Sandro Cavazza)
Lil Peep, Awful Things
Teenear, Love Me or Leave Me
Zac Samuel, Play It Cool
Dua Lipa, New Rules
R.I.O., The Sign
R3HAB, You Could Be
Kid Ink, Hotel
blackbear, do re mi (feat. Gucci Mane)
Justin Bieber, Friends (with BloodPop®)
Maroon 5, What Lovers Do (feat. SZA)
The Script, Rock the World
Charli XCX, Boys
J Balvin, Mi Gente
Robin Schulz, I Believe I'm Fine
Koni, Sun Goes Down
Watermät, All My Love - Extended Mix
Sigala, Only One - Brookes Brothers Remix
FOURS, Overthink
ODESZA, Across the Room (feat. Leon Bridges)
Martin Jensen, Wait
ALMA, Phases
Barns Courtney, Champion
DJ Snake, A Different Way (with Lauv)
Hurts, Hold on to Me
Fendi, My Love
Donkeyboy, Kaleidoscope
Cheat Codes, Sober - Krakn Remix
Disciples, Jealousy
Coldplay, Army Of One
Mike Perry, Talk About It
Oliver Heldens, What The Funk
Saxity, More Than I Do
Felix Jaehn, Like A Riddle (feat. Hearts & Colors, Adam Trigger)
Maroon 5, Help Me Out (with Julia Michaels)
Hogland, Got You Babe
Sam Feldt, Be My Lover
Kygo, Stargazing
Tiësto, Carry You Home
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
Marshmello, Silence
Sam Smith, Too Good At Goodbyes - Edit
